level,variable,decrease7_total,increase_total,increase5_total,decrease_total,count_nfhs5_total,count_nfhs4_total
District,S04,25,329,70,311,640,640
District,S07,2,550,267,89,640,640
District,S08,11,410,124,220,640,640
District,S09,2,615,567,25,640,640
District,S10,2,627,572,13,640,640
District,S12,57,515,420,125,640,640
District,S14,9,499,267,141,640,640
District,S16,8,576,376,64,640,640
District,S20rev,56,367,152,273,640,640
District,S81,165,219,98,421,640,640
District,S82,170,257,105,383,640,640
District,S83,54,306,100,334,640,640
District,S84,191,211,78,429,640,640
District,S85,4,459,76,181,640,640
District,S92,71,461,374,179,640,640
State,S04,0,22,0,14,36,36
State,S07,0,32,10,4,36,36
State,S08,0,30,5,6,36,36
State,S09,0,35,30,1,36,36
State,S10,0,36,34,0,36,36
State,S12,2,31,23,5,36,36
State,S14,0,29,8,7,36,36
State,S16,0,33,21,3,36,36
State,S81,2,14,5,22,36,36
State,S82,3,12,2,24,36,36
State,S84,5,16,1,20,36,36
State,S85,0,33,3,3,36,36
State,S92,4,27,20,9,36,36
State_Rural,S04,1,18,3,18,36,36
State_Rural,S07,0,32,12,3,36,36
State_Rural,S08,1,28,7,8,36,36
State_Rural,S09,0,34,31,2,36,36
State_Rural,S10,0,36,36,0,36,36
State_Rural,S12,2,29,24,7,36,36
State_Rural,S14,0,29,11,7,36,36
State_Rural,S16,0,35,23,1,36,36
State_Rural,S81,3,13,3,23,36,36
State_Rural,S82,6,15,5,21,36,36
State_Rural,S84,6,11,6,25,36,36
State_Rural,S85,1,33,3,3,36,36
State_Rural,S92,4,27,19,9,36,36
State_Urban,S04,1,19,3,17,36,36
State_Urban,S07,0,28,1,8,36,36
State_Urban,S08,0,22,2,14,36,36
State_Urban,S09,0,35,26,1,36,36
State_Urban,S10,0,36,28,0,36,36
State_Urban,S12,2,32,25,4,36,36
State_Urban,S14,1,29,2,7,36,36
State_Urban,S16,1,31,16,5,36,36
State_Urban,S81,5,16,8,20,36,36
State_Urban,S82,3,14,4,22,36,36
State_Urban,S84,4,13,5,23,36,36
State_Urban,S85,0,28,4,8,36,36
State_Urban,S92,2,29,21,7,36,36
