level,variable,NFHS3,NFHS4,NFHS5,change_ci_N3to4,change_ci_N4to5,test_change,test_pvalue
India,S04,"47.9 (47.3, 48.4)","47.8 (47.5, 48)","48.1 (47.8, 48.3)","0 (-0.1, 0.1)","0.1 (0, 0.1)","-0.15, p=0.44",p=0.24
India,S07,"67.2 (65.9, 68.5)","88 (87.7, 88.3)","96.8 (96.7, 96.9)","2.1 (1.9, 2.2)","1.8 (1.7, 1.8)","0.67, p=0.25",p<0.01
India,S08,"88.2 (87.4, 89)","94.4 (94.2, 94.6)","95.8 (95.6, 95.9)","0.6 (0.5, 0.7)","0.3 (0.2, 0.3)","0.73, p=0.23",p<0.01
India,S09,"29.5 (28.4, 30.7)","48.5 (48, 49)","70.2 (69.8, 70.5)","1.9 (1.8, 2)","4.3 (4.2, 4.5)","-5.09, p<0.01",p<0.01
India,S10,"25.5 (24.3, 26.8)","43.9 (43.2, 44.5)","58.8 (58.3, 59.3)","1.8 (1.7, 2)","3 (2.8, 3.1)","-2.4, p<0.01",p<0.01
India,S12,"5 (4.6, 5.4)","28.8 (28.5, 29.2)","41.2 (40.9, 41.5)","2.4 (2.3, 2.4)","2.5 (2.4, 2.6)","-0.2, p=0.42",p=0.76
India,S14,"55.1 (54.1, 56.1)","68.4 (68.1, 68.7)","71.5 (71.2, 71.7)","1.3 (1.2, 1.4)","0.6 (0.5, 0.7)","1.49, p=0.07",p<0.01
India,S16,"22.3 (21.5, 23.1)","35.7 (35.3, 36.1)","41 (40.7, 41.4)","1.3 (1.2, 1.4)","1.1 (1, 1.2)","0.56, p=0.29",p=0.6
India,S20,"55.5 (54.3, 56.7)","74.7 (74.3, 75.2)","77.7 (77.3, 78.1)","1.9 (1.8, 2.1)","0.6 (0.5, 0.7)","2.76, p<0.01",p<0.01
Rural,S04,"48.2 (47.6, 48.9)","47.9 (47.7, 48.2)","48.1 (47.8, 48.4)","0 (-0.1, 0)","0 (-0.1, 0.1)","-0.12, p=0.45",p=0.6
Rural,S07,"55.5 (54.2, 56.8)","83.2 (82.8, 83.6)","95.7 (95.6, 95.8)","2.8 (2.6, 2.9)","2.5 (2.4, 2.6)","0.57, p=0.29",p<0.01
Rural,S08,"84.6 (83.5, 85.7)","92.5 (92.2, 92.7)","94.4 (94.2, 94.6)","0.8 (0.7, 0.9)","0.4 (0.3, 0.5)","0.82, p=0.21",p<0.01
Rural,S09,"18.2 (17.3, 19.1)","37.2 (36.8, 37.7)","64.9 (64.5, 65.3)","1.9 (1.8, 2)","5.5 (5.4, 5.7)","-7.59, p<0.01",p<0.01
Rural,S10,"8.8 (8.1, 9.5)","24.1 (23.7, 24.5)","43.3 (42.9, 43.7)","1.5 (1.4, 1.6)","3.8 (3.7, 4)","-4.84, p<0.01",p<0.01
Rural,S12,"2.3 (2.1, 2.5)","29.1 (28.7, 29.4)","42.6 (42.3, 43)","2.7 (2.6, 2.7)","2.7 (2.6, 2.8)","-0.08, p=0.47",p=0.95
Rural,S14,"45.5 (44.5, 46.4)","61.5 (61.2, 61.8)","65.9 (65.6, 66.2)","1.6 (1.5, 1.7)","0.9 (0.8, 1)","1.51, p=0.07",p<0.01
Rural,S16,"13.7 (13.1, 14.3)","27.3 (27.1, 27.6)","33.7 (33.4, 34)","1.4 (1.3, 1.4)","1.3 (1.2, 1.4)","0.19, p=0.42",p=0.52
Rural,S20,"47.5 (46.1, 48.8)","70.4 (69.9, 70.9)","74.2 (73.7, 74.7)","2.3 (2.1, 2.4)","0.8 (0.6, 0.9)","3.2, p<0.01",p<0.01
Urban,S04,"46.9 (45.8, 47.9)","47.3 (46.7, 47.9)","47.9 (47.3, 48.6)","0 (-0.1, 0.2)","0.1 (0, 0.3)","-0.18, p=0.43",p=0.23
Urban,S07,"93.2 (92.1, 94.2)","97.6 (97.4, 97.8)","99.1 (98.9, 99.2)","0.4 (0.3, 0.6)","0.3 (0.2, 0.3)","0.33, p=0.37",p<0.01
Urban,S08,"96.2 (95.4, 96.9)","98.4 (98.2, 98.5)","98.6 (98.5, 98.8)","0.2 (0.1, 0.3)","0.1 (0, 0.1)","0.34, p=0.37",p=0.63
Urban,S09,"54.7 (52.6, 56.7)","71.2 (70.3, 72.2)","81.5 (80.7, 82.2)","1.7 (1.4, 1.9)","2 (1.8, 2.3)","-0.82, p=0.21",p=0.03
Urban,S10,"60.1 (58, 62.3)","81 (80.2, 81.7)","90 (89.5, 90.5)","2.1 (1.9, 2.3)","1.8 (1.6, 2)","0.57, p=0.28",p=0.43
Urban,S12,"10.7 (9.7, 11.8)","28.4 (27.7, 29.1)","38.3 (37.7, 39)","1.8 (1.6, 1.9)","2 (1.8, 2.2)","-0.47, p=0.32",p=0.28
Urban,S14,"74.8 (73.4, 76.2)","81.4 (80.9, 81.9)","83 (82.5, 83.5)","0.7 (0.5, 0.8)","0.3 (0.2, 0.5)","0.69, p=0.24",p=0.02
Urban,S16,"40 (38.3, 41.7)","51.5 (50.7, 52.3)","56.3 (55.6, 57)","1.1 (1, 1.3)","1 (0.8, 1.2)","0.39, p=0.35",p=0.81
Urban,S20,"71.9 (70.2, 73.6)","83.2 (82.4, 84)","85.8 (85, 86.5)","1.1 (0.9, 1.3)","0.5 (0.3, 0.7)","1.29, p=0.1",p=0.07
