level,variable,NFHS3,NFHS4,NFHS5,change_ci_N3to4,change_ci_N4to5,test_pvalue,target
India,S81,"47.8 (47, 48.7)","38.4 (38, 38.7)","35.5 (35.1, 35.8)","-0.9 (-1, -0.9)","-0.6 (-0.7, -0.5)",p<0.01,26.4
India,S82,"20 (19.4, 20.6)","21.1 (20.8, 21.4)","19.3 (19, 19.6)","0.1 (0, 0.2)","-0.4 (-0.4, -0.3)",p=0.17,9.1
India,S84,"42.4 (41.6, 43.3)","35.7 (35.4, 36.1)","32.1 (31.8, 32.5)","-0.7 (-0.8, -0.6)","-0.7 (-0.8, -0.6)",p=0.09,23.7
India,S85,"1.5 (1.4, 1.7)","2.1 (2, 2.2)","3.4 (3.3, 3.6)","0.1 (0, 0.1)","0.3 (0.2, 0.3)",p<0.01,NA
Rural,S81,"50.5 (49.6, 51.5)","41.1 (40.8, 41.5)","37.3 (36.9, 37.7)","-0.9 (-1, -0.8)","-0.8 (-0.9, -0.7)",p<0.01,29.1
Rural,S82,"20.9 (20.2, 21.6)","21.5 (21.2, 21.8)","19.5 (19.1, 19.9)","0.1 (0, 0.1)","-0.4 (-0.5, -0.3)",p=0.56,9.5
Rural,S84,"45.6 (44.6, 46.5)","38.2 (37.9, 38.6)","33.8 (33.4, 34.1)","-0.7 (-0.8, -0.6)","-0.9 (-1, -0.8)",p=0.02,26.2
Rural,S85,"1.2 (1.1, 1.4)","1.8 (1.7, 1.9)","3.2 (3.1, 3.3)","0.1 (0, 0.1)","0.3 (0.2, 0.3)",p<0.01,NA
Urban,S81,"39.5 (37.9, 41)","31 (30.3, 31.8)","30.1 (29.3, 30.9)","-0.8 (-1, -0.7)","-0.2 (-0.4, 0)",p=0.01,19
Urban,S82,"17 (16, 18.1)","20 (19.4, 20.7)","18.6 (18, 19.2)","0.3 (0.2, 0.4)","-0.3 (-0.5, -0.1)",p=0.16,8
Urban,S84,"32.7 (31.2, 34.2)","29.1 (28.4, 29.8)","27.4 (26.6, 28.1)","-0.4 (-0.5, -0.2)","-0.4 (-0.6, -0.1)",p=0.79,17.1
Urban,S85,"2.6 (2.1, 3)","2.8 (2.5, 3)","4.2 (3.9, 4.5)","0 (0, 0.1)","0.3 (0.2, 0.4)",p<0.01,NA
